ric,ticker,isin,exchange_name,coverage_role
BR.N,BR,US11133T1034,New York Stock Exchange,native_equity
BRBR.N,BRBR,US07831C1036,New York Stock Exchange,native_equity
BRBS.A,BRBS,US0958251052,American Stock Exchange,native_equity
BRC.N,BRC,US1046741062,New York Stock Exchange,native_equity
BRCB.OQ,BRCB,US0922441029,NASDAQ Stock Exchange Global Market,native_equity
BRCC.N,BRCC,US05601U1051,New York Stock Exchange,native_equity
BRCD.O^K17,BRCD,US1116213067,Consolidated Issue Listed on Nasdaq Global Select Market,native_equity
BRCM.O^B16,BRCM,US1113201073,Consolidated Issue Listed on Nasdaq Global Select Market,native_equity
BRE.N,BRE,,,native_equity
BRID.OQ,BRID,US1087631032,NASDAQ Stock Exchange Global Market,native_equity
BRKB.N,BRK.B,US0846707026,New York Stock Exchange,native_equity
BRKR.OQ,BRKR,US1167941087,Nasdaq Stock Exchange Global Select Market,native_equity
BRL.II,BRL,,,native_equity
BRLC.O,BRLC,,,native_equity
BRLI.OQ,BRLI,,,native_equity
BRO.N,BRO,US1152361010,New York Stock Exchange,native_equity
BROS.N,BROS,US26701L1008,New York Stock Exchange,native_equity
BRS.C,BRS,,,native_equity
BRSL.K,BRSL,GB00BVG7F061,New York Consolidated,native_equity
BRSP.N,BRSP,US10949T1097,New York Stock Exchange,native_equity
BRT.N,BRT,US0556453035,New York Stock Exchange,native_equity
BRW.C,BRW,US78518H2022,The National Stock Exchange (formerly Cincinnati SE),native_equity
BRX.N,BRX,US11120U1051,New York Stock Exchange,native_equity
BRZE.OQ,BRZE,US10576N1028,Nasdaq Stock Exchange Global Select Market,native_equity
BSCP.PK^L09,BSCP,US0863391084,US 'Other OTC' and Grey Market,projection_only
BSCQ.O,BSCQ,US46138J7919,NASDAQ Global Market Consolidated,projection_only
BSCR.O,BSCR,US46138J7836,NASDAQ Global Market Consolidated,projection_only
BSCS.O,BSCS,US46138J6432,NASDAQ Global Market Consolidated,projection_only
BSCT.O,BSCT,US46138J5772,NASDAQ Global Market Consolidated,projection_only
BSC^F08,BSC,US0739021089,New York Consolidated,native_equity
BSET.OQ,BSET,US0702031040,Nasdaq Stock Exchange Global Select Market,native_equity
BSF.OQ,BSF,,,native_equity
BSFT.OQ,BSFT,,,native_equity
BSG.B,BSG,,,native_equity
BSRR.OQ,BSRR,US82620P1021,Nasdaq Stock Exchange Global Select Market,native_equity
BSTE.OQ,BSTE,,,native_equity
BSVN.OQ,BSVN,US06652N1072,Nasdaq Stock Exchange Global Select Market,native_equity
BSX.N,BSX,US1011371077,New York Stock Exchange,native_equity
BSY.OQ,BSY,US08265T2087,Nasdaq Stock Exchange Global Select Market,native_equity
BTAI.OQ,BTAI,US09075P2048,NASDAQ Stock Exchange Capital Market,native_equity
BTAL.K,BTAL,US00110G4082,NYSE Arca Consolidated,projection_only
BTBT.OQ,BTBT,KYG1144A1058,NASDAQ Stock Exchange Capital Market,native_equity
BTDR.OQ,BTDR,KYG114481008,NASDAQ Stock Exchange Capital Market,native_equity
BTH.B,BTH,,,native_equity
BTH.N,BTH,,,native_equity
BTMD.OQ,BTMD,US0906831039,NASDAQ Stock Exchange Global Market,native_equity
BTO0F.TRE,BTO0F,US12740C1036,London Stock Exchange,native_equity
BTSG.OQ,BTSG,US10950A1060,Nasdaq Stock Exchange Global Select Market,native_equity
BTU.II,BTU,,,native_equity
BTU.N,BTU,US7045511000,New York Stock Exchange,native_equity
BUCY.O^G11,BUCY,US1187591094,Consolidated Issue Listed on Nasdaq Global Select Market,native_equity
BUF.PH,BUF,,,native_equity
BUG.L,BUG,IE00BMH5Y871,London Stock Exchange,projection_only
BULL.OQ,BULL,KYG9572D1034,NASDAQ Stock Exchange Capital Market,native_equity
BURF.L,BUR,GG00BMGYLN96,London Stock Exchange,native_equity
BURL.N,BURL,US1220171060,New York Stock Exchange,native_equity
BUSE.OQ,BUSE,US3193832041,Nasdaq Stock Exchange Global Select Market,native_equity
BV.N,BV,US10948C1071,New York Stock Exchange,native_equity
BVFL.OQ,BVFL,US05603E2081,NASDAQ Stock Exchange Capital Market,native_equity
BVS.OQ,BVS,US09075A1088,Nasdaq Stock Exchange Global Select Market,native_equity
BW.N,BW,US05614L2097,New York Stock Exchange,native_equity
BWA.N,BWA,US0997241064,New York Stock Exchange,native_equity
BWB.OQ,BWB,US1086211034,NASDAQ Stock Exchange Capital Market,native_equity
BWFG.OQ,BWFG,US06654A1034,NASDAQ Stock Exchange Global Market,native_equity
BWIN.OQ,BWIN,US05589G1022,Nasdaq Stock Exchange Global Select Market,native_equity
BWLD.O^B18,BWLD,US1198481095,Consolidated Issue Listed on Nasdaq Global Select Market,native_equity
BWMN.OQ,BWMN,US1030021018,NASDAQ Stock Exchange Global Market,native_equity
BWXT.N,BWXT,US05605H1005,New York Stock Exchange,native_equity
BX.N,BX,US09260D1072,New York Stock Exchange,native_equity
BXC.N,BXC,US09624H2085,New York Stock Exchange,native_equity
BXLT.N,BXLT,,,native_equity
BXMT.N,BXMT,US09257W1009,New York Stock Exchange,native_equity
BXP.II,BXP,,,native_equity
BXP.N,BXP,US1011211018,New York Stock Exchange,native_equity
BY.N,BY,US1244111092,New York Stock Exchange,native_equity
BYD.N,BYD,US1033041013,New York Stock Exchange,native_equity
BYI.B,BYI,,,native_equity
BYI^K14,BYI,US05874B1070,New York Consolidated,native_equity
BYND.OQ,BYND,US08862E1091,Nasdaq Stock Exchange Global Select Market,native_equity
BYRN.OQ,BYRN,US12448X2018,NASDAQ Stock Exchange Capital Market,native_equity
BYSI.OQ,BYSI,KYG108301006,NASDAQ Stock Exchange Capital Market,native_equity
BZ.N,BZ,US48553T1060,New York Stock Exchange,native_equity
BZAI.OQ,BZAI,US0929151076,NASDAQ Stock Exchange Global Market,native_equity
BZH.N,BZH,US07556Q8814,New York Stock Exchange,native_equity
BZP.A,BZP,,,native_equity
C.N,C,US1729674242,New York Stock Exchange,native_equity
C2GF.ICEM,C2GF,US12508E1010,TPICAP,native_equity
CA.II,CA,,,native_equity
CA.N,CA,US23306X8526,New York Stock Exchange,native_equity
CA.O^K18,CA,US12673P1057,Consolidated Issue Listed on Nasdaq Global Select Market,native_equity
CA5359194019.TRU,CA5359194019,CA5359194019,TradEcho APA (EU),native_equity
CAA^B18,CAA^B18,US1281951046,New York Consolidated,native_equity
CAB.N,CAB,,,native_equity
CAB.PH,CAB,,,native_equity
CABO.N,CABO,US12685J1051,New York Stock Exchange,native_equity
CAC.OQ,CAC,US1330341082,Nasdaq Stock Exchange Global Select Market,native_equity
CACB.OQ,CACB,,,native_equity
CACC.OQ,CACC,US2253101016,Nasdaq Stock Exchange Global Select Market,native_equity
CACH.OQ,CACH,,,native_equity
CACI.N,CACI,US1271903049,New York Stock Exchange,native_equity
CACQ.OQ,CACQ,,,native_equity
CADL.OQ,CADL,US1374041093,NASDAQ Stock Exchange Global Market,native_equity
CADX.OQ,CADX,,,native_equity
CAE.TO,CAE,CA1247651088,The Toronto Stock Exchange,native_equity
CAG.II,CAG,,,native_equity
CAG.N,CAG,US2058871029,New York Stock Exchange,native_equity
CAH.N,CAH,US14149Y1082,New York Stock Exchange,native_equity
CAKE.OQ,CAKE,US1630721017,Nasdaq Stock Exchange Global Select Market,native_equity
CAL.N,CAL,US1295001044,New York Stock Exchange,native_equity
CALM.OQ,CALM,US1280302027,Nasdaq Stock Exchange Global Select Market,native_equity
CALX.N,CALX,US13100M5094,New York Stock Exchange,native_equity
CALY.N,CALY,US1311931042,New York Stock Exchange,native_equity
CAM.N,CAM,US00039J7726,New York Stock Exchange,native_equity
CAO.B,CAO,,,native_equity
CAPR.OQ,CAPR,US14070B3096,Nasdaq Stock Exchange Global Select Market,native_equity
CAR.OQ,CAR,US0537741052,Nasdaq Stock Exchange Global Select Market,native_equity
CARE.OQ,CARE,US1461031064,Nasdaq Stock Exchange Global Select Market,native_equity
CARG.OQ,CARG,US1417881091,Nasdaq Stock Exchange Global Select Market,native_equity
CARL.OQ,CARL,US14280C1053,Nasdaq Stock Exchange Global Select Market,native_equity
CARR.N,CARR,US14448C1045,New York Stock Exchange,native_equity
CARS.N,CARS,US14575E1055,New York Stock Exchange,native_equity
CART.OQ,CART,US5653941030,Nasdaq Stock Exchange Global Select Market,native_equity
CAS.N,CAS,US82889N3843,New York Stock Exchange,native_equity
CASH.OQ,CASH,US59100U1088,Nasdaq Stock Exchange Global Select Market,native_equity
CASS.OQ,CASS,US14808P1093,Nasdaq Stock Exchange Global Select Market,native_equity
CASY.OQ,CASY,US1475281036,Nasdaq Stock Exchange Global Select Market,native_equity
CAT.N,CAT,US1491231015,New York Stock Exchange,native_equity
CATO.N,CATO,US1492051065,New York Stock Exchange,native_equity
CATX.A,CATX,US46489V3024,American Stock Exchange,native_equity
CATY.OQ,CATY,US1491501045,Nasdaq Stock Exchange Global Select Market,native_equity
CAVA.N,CAVA,US1489291021,New York Stock Exchange,native_equity
CAVMN.BCU,CAVMN,US14964U1088,BATS Europe,native_equity
CB,CB,CH0044328745,New York Consolidated,native_equity
CBAN.N,CBAN,US19623P1012,New York Stock Exchange,native_equity
CBE.II,CBE,,,native_equity
CBEY.OQ,CBEY,,,native_equity
CBF.PH,CBF,,,native_equity
CBFV.OQ,CBFV,US12479G1013,NASDAQ Stock Exchange Global Market,native_equity
CBH.II,CBH,,,native_equity
CBHI.OQ,CBHI,,,native_equity
CBK.OQ,CBK,US20112C1062,NASDAQ Stock Exchange Capital Market,native_equity
CBKCQ.PK,CBKCQ,US1710461054,USA Pink Sheets,native_equity
CBKN.OQ,CBKN,,,native_equity
CBL.N,CBL,US1248308785,New York Stock Exchange,native_equity
CBLL.OQ,CBLL,US15678C1027,Nasdaq Stock Exchange Global Select Market,native_equity
CBM.B,CBM,,,native_equity
CBM.N,CBM,,,native_equity
CBNA.N,CBNA,US15746L1008,New York Stock Exchange,native_equity
CBNJ.OQ,CBNJ,,,native_equity
CBNK.OQ,CBNK,US1397371006,Nasdaq Stock Exchange Global Select Market,native_equity
CBON.OQ,CBON,,,native_equity
CBOU.OQ,CBOU,,,native_equity
CBR.II,CBR,,,native_equity
CBRE.N,CBRE,US12504L1098,New York Stock Exchange,native_equity
CBRL.OQ,CBRL,US22410J1060,Nasdaq Stock Exchange Global Select Market,native_equity
CBRLDE.INS,CBRLDE,,,native_equity
CBS.II,CBS,,,native_equity
CBSH.OQ,CBSH,US2005251036,Nasdaq Stock Exchange Global Select Market,native_equity
CBT.N,CBT,US1270551013,New York Stock Exchange,native_equity
CBU.N,CBU,US2036071064,New York Stock Exchange,native_equity
CBZ.N,CBZ,US1248051021,New York Stock Exchange,native_equity
CB^A16,CB,US1712321017,New York Consolidated,native_equity
CC.N,CC,US1638511089,New York Stock Exchange,native_equity
CCB.OQ,CCB,US19046P2092,Nasdaq Stock Exchange Global Select Market,native_equity
CCBG.OQ,CCBG,US1396741050,Nasdaq Stock Exchange Global Select Market,native_equity
CCBL.O,CCBL,,,native_equity
CCCC.OQ,CCCC,US12529R1077,Nasdaq Stock Exchange Global Select Market,native_equity
CCE.II,CCE,,,native_equity
CCE.N,CCE,,,native_equity
CCG.N,CCG,KYG207071088,New York Stock Exchange,native_equity
CCI.N,CCI,US22822V1017,New York Stock Exchange,native_equity
CCIX.OQ,CCIX,KYG213011094,NASDAQ Stock Exchange Global Market,native_equity
CCJ.N,CCJ,,New York Stock Exchange,native_equity
CCK.N,CCK,US2283681060,New York Stock Exchange,native_equity
CCL.II,CCL,,,native_equity
CCL.N,CCL,PA1436583006,New York Stock Exchange,native_equity
CCNE.OQ,CCNE,US1261281075,Nasdaq Stock Exchange Global Select Market,native_equity
CCO.N,CCO,US18453H1068,New York Stock Exchange,native_equity
CCOI.OQ,CCOI,US19239V3024,Nasdaq Stock Exchange Global Select Market,native_equity
CCOW.OQ,CCOW,,,native_equity
CCP^H17,CCP^H17,US1416241065,New York Consolidated,native_equity
CCRN.OQ,CCRN,US2274831047,Nasdaq Stock Exchange Global Select Market,native_equity
CCS.N,CCS,US1565043007,New York Stock Exchange,native_equity
CCSI.OQ,CCSI,US20848V1052,Nasdaq Stock Exchange Global Select Market,native_equity
CCU,CCU,US2044291043,New York Consolidated,native_equity
CD.OQ,CD,KYG594672027,NASDAQ Stock Exchange Global Market,native_equity
CDE.N,CDE,US1921085049,New York Stock Exchange,native_equity
CDEDE.INS,CDEDE,,,native_equity
CDI.B,CDI,,,native_equity
CDI.N,CDI,,,native_equity
CDLX.OQ,CDLX,US14161W1053,NASDAQ Stock Exchange Global Market,native_equity
CDNA.OQ,CDNA,US14167L1035,NASDAQ Stock Exchange Global Market,native_equity
CDNS.OQ,CDNS,US1273871087,Nasdaq Stock Exchange Global Select Market,native_equity
CDP.N,CDP,US22002T1088,New York Stock Exchange,native_equity
CDRB.OQ,CDRB,,,native_equity
CDRE.N,CDRE,US12763L1052,New York Stock Exchange,native_equity
CDW.OQ,CDW,US12514G1085,Nasdaq Stock Exchange Global Select Market,native_equity
CDXS.OQ,CDXS,US1920051067,Nasdaq Stock Exchange Global Select Market,native_equity
CDZI.OQ,CDZI,US1275372076,NASDAQ Stock Exchange Global Market,native_equity
CE.N,CE,US1508701034,New York Stock Exchange,native_equity
CEB.N,CEB,,,native_equity
CEC.B,CEC,,,native_equity
CECO.OQ,CECO,US1251411013,Nasdaq Stock Exchange Global Select Market,native_equity
CEDC.OQ,CEDC,,,native_equity
CEG.II,CEG,,,native_equity
CEG.N,CEG,US21037T1097,New York Stock Exchange,native_equity
CEGEDE.INS,CEGEDE,,,native_equity
CELC.OQ,CELC,US15102K1007,NASDAQ Stock Exchange Capital Market,native_equity
CELG.II,CELG,,,native_equity
CELG.OQ,CELG,,,native_equity
CELH.OQ,CELH,US15118V2079,NASDAQ Stock Exchange Capital Market,native_equity
CELL.O,CELL,,,native_equity
CELL.OQ,CELL,,,native_equity
CENT.OQ,CENT,US1535271068,Nasdaq Stock Exchange Global Select Market,native_equity
CENTA.OQ,CENTA,US1535272058,Nasdaq Stock Exchange Global Select Market,native_equity
CENX.OQ,CENX,US1564311082,Nasdaq Stock Exchange Global Select Market,native_equity
CEPH.O^J11,CEPH,US1567081096,Consolidated Issue Listed on Nasdaq Global Select Market,native_equity
CERE.OQ,CERE,US15678U1280,NASDAQ Stock Exchange Capital Market,native_equity
CERN.O^F22,CERN,US1567821046,Consolidated Issue Listed on Nasdaq Global Select Market,native_equity
CERS.OQ,CERS,US1570851014,NASDAQ Stock Exchange Global Market,native_equity
CETVN.BCU,CETVN,BMG200452024,BATS Europe,native_equity
CEVA.OQ,CEVA,US1572101053,Nasdaq Stock Exchange Global Select Market,native_equity
CF.N,CF,US1252691001,New York Stock Exchange,native_equity
CFBK.OQ,CFBK,US12520L1098,NASDAQ Stock Exchange Capital Market,native_equity
CFC.II,CFC,US22237LHF22,,native_equity
CFFI.OQ,CFFI,US12466Q1040,Nasdaq Stock Exchange Global Select Market,native_equity
CFFN.OQ,CFFN,US14057J1016,Nasdaq Stock Exchange Global Select Market,native_equity
CFL.N,CFL,,,native_equity
CFN.N,CFN,,,native_equity
CFNB.PK,CFNB,US1302221023,USA Pink Sheets,native_equity
CFNL.OQ,CFNL,,,native_equity
CFR.N,CFR,US2298991090,New York Stock Exchange,native_equity
CG.OQ,CG,US14316J1088,Nasdaq Stock Exchange Global Select Market,native_equity
CGEM.OQ,CGEM,US2300311063,Nasdaq Stock Exchange Global Select Market,native_equity
CGI.C,CGI,,,native_equity
CGI.N,CGI,,,native_equity
CGNX.OQ,CGNX,US1924221039,Nasdaq Stock Exchange Global Select Market,native_equity
CGON.OQ,CGON,US1569441009,Nasdaq Stock Exchange Global Select Market,native_equity
CGX.B,CGX,,,native_equity
CGX.N,CGX,,,native_equity
CHAP.N,CHAP,,,native_equity
CHAT.K,CHAT,US88636J6001,NYSE Arca Consolidated,projection_only
CHB.B,CHB,,,native_equity
CHC.B,CHC,,,native_equity
CHCO.OQ,CHCO,US1778351056,Nasdaq Stock Exchange Global Select Market,native_equity
CHCT.N,CHCT,US20369C1062,New York Stock Exchange,native_equity
CHD.N,CHD,US1713401024,New York Stock Exchange,native_equity
CHDN.OQ,CHDN,US1714841087,Nasdaq Stock Exchange Global Select Market,native_equity
CHDX.OQ,CHDX,,,native_equity
CHE.N,CHE,US16359R1032,New York Stock Exchange,native_equity
CHEF.OQ,CHEF,US1630861011,Nasdaq Stock Exchange Global Select Market,native_equity
CHFN.OQ,CHFN,,,native_equity
CHG.B,CHG,,,native_equity
CHG.N,CHG,,,native_equity
CHGG.N,CHGG,US1630921096,New York Stock Exchange,native_equity
CHH.N,CHH,US1699051066,New York Stock Exchange,native_equity
CHK.II,CHK,,,native_equity
CHKP.OQ,CHKP,IL0010824113,Nasdaq Stock Exchange Global Select Market,native_equity
CHMG.OQ,CHMG,US1640241014,Nasdaq Stock Exchange Global Select Market,native_equity
CHMI.N,CHMI,US1646511014,New York Stock Exchange,native_equity
CHRD.OQ,CHRD,US6742152076,Nasdaq Stock Exchange Global Select Market,native_equity
CHRS.OQ,CHRS,US19249H1032,NASDAQ Stock Exchange Global Market,native_equity
CHRW.II,CHRW,,,native_equity
CHRW.OQ,CHRW,US12541W2098,Nasdaq Stock Exchange Global Select Market,native_equity
CHSI.OQ,CHSI,,,native_equity
CHS^A24,CHS^A24,US1686151028,New York Consolidated,native_equity
CHTR.OQ,CHTR,US16119P1084,Nasdaq Stock Exchange Global Select Market,native_equity
CHTRAF.INS,CHTRAF,,,native_equity
CHTT.OQ,CHTT,,,native_equity
CHWY.N,CHWY,US16679L1098,New York Stock Exchange,native_equity
CHZ.B,CHZ,,,native_equity
CI.N,CI,US1255231003,New York Stock Exchange,native_equity
CIA.N,CIA,US1747401008,New York Stock Exchange,native_equity
CIBR.OQ,CIBR,US33734X8469,NASDAQ Stock Exchange Global Market,projection_only
CIEN.II,CIEN,,,native_equity
CIEN.N,CIEN,US1717793095,New York Stock Exchange,native_equity
CIFR.OQ,CIFR,US17253J1060,Nasdaq Stock Exchange Global Select Market,native_equity
CIM.N,CIM,US16934Q8024,New York Stock Exchange,native_equity
CINF.II,CINF,,,native_equity
CINF.OQ,CINF,US1720621010,Nasdaq Stock Exchange Global Select Market,native_equity
CIRN.BCU,CIRN,US17273K1097,BATS Europe,native_equity
CIT.II,CIT,US12557WGW55,,native_equity
CITP.OQ,CITP,,,native_equity
CIVB.OQ,CIVB,US1788671071,NASDAQ Stock Exchange Capital Market,native_equity
CIX.A,CIX,US20563P1012,American Stock Exchange,native_equity
CJES.N,CJES,,,native_equity
CKPDE.INS,CKPDE,,,native_equity
CKR.MW,CKR,,,native_equity
CL.N,CL,US1941621039,New York Stock Exchange,native_equity
CLAR.OQ,CLAR,US18270P1093,Nasdaq Stock Exchange Global Select Market,native_equity
CLAY.O,CLAY,,,native_equity
CLB.N,CLB,US21867A1051,New York Stock Exchange,native_equity
CLBK.OQ,CLBK,US1976411033,Nasdaq Stock Exchange Global Select Market,native_equity
CLC.B,CLC,,,native_equity
CLC.N,CLC,,,native_equity
CLDN.OQ,CLDN,,,native_equity
CLDT.N,CLDT,US16208T1025,New York Stock Exchange,native_equity
CLDX.OQ,CLDX,US15117B2025,NASDAQ Stock Exchange Capital Market,native_equity
CLF.N,CLF,US1858991011,New York Stock Exchange,native_equity
CLFD.OQ,CLFD,US18482P1030,NASDAQ Stock Exchange Global Market,native_equity
CLGX.K^F21,CLGX,US21871D1037,New York Consolidated,native_equity
CLH.N,CLH,US1844961078,New York Stock Exchange,native_equity
CLMB.OQ,CLMB,US9467601053,NASDAQ Stock Exchange Global Market,native_equity
CLMS.OQ,CLMS,,,native_equity
CLMT.OQ,CLMT,US1314281049,Nasdaq Stock Exchange Global Select Market,native_equity
CLNE.OQ,CLNE,US1844991018,Nasdaq Stock Exchange Global Select Market,native_equity
CLNN.OQ,CLNN,US1856342019,NASDAQ Stock Exchange Capital Market,native_equity
CLNY.N,CLNY,,,native_equity
CLOA.O,CLOA,US0925285043,NASDAQ Global Market Consolidated,projection_only
CLOU.OQ,CLOU,US37954Y4420,NASDAQ Stock Exchange Global Market,projection_only
CLOV.OQ,CLOV,US18914F1030,Nasdaq Stock Exchange Global Select Market,native_equity
CLP.N,CLP,,,native_equity
CLPR.N,CLPR,US18885T3068,New York Stock Exchange,native_equity
CLPT.OQ,CLPT,US18507C1036,NASDAQ Stock Exchange Capital Market,native_equity
CLRK.O,CLRK,,,native_equity
CLR^K22,CLR^K22,US2120151012,New York Consolidated,native_equity
CLSK.OQ,CLSK,US18452B2097,NASDAQ Stock Exchange Capital Market,native_equity
CLUB.OQ,CLUB,,,native_equity
CLVSN.BCU,CLVSN,US1894641000,BATS Europe,native_equity
CLW.N,CLW,US18538R1032,New York Stock Exchange,native_equity
CLX.N,CLX,US1890541097,New York Stock Exchange,native_equity
CLYM.O,CLYM,US28658R1068,NASDAQ National Market System,native_equity
CMA.II,CMA,,,native_equity
CMBM.OQ,CMBM,KYG177661090,NASDAQ Stock Exchange Global Market,native_equity
CMC.N,CMC,US2017231034,New York Stock Exchange,native_equity
CMCL.A,CMCL,JE00BF0XVB15,American Stock Exchange,native_equity
CMCO.OQ,CMCO,US1993331057,Nasdaq Stock Exchange Global Select Market,native_equity
CMCSA.OQ,CMCSA,US20030N1019,Nasdaq Stock Exchange Global Select Market,native_equity
CMCSK.O^L15,CMCSK,US20030N2009,Consolidated Issue Listed on Nasdaq Global Select Market,native_equity
CMCT.OQ,CMCT,US12564W1027,NASDAQ Stock Exchange Capital Market,native_equity
CMDB.N,CMDB,MHY2001C1012,New York Stock Exchange,native_equity
CME.II,CME,,,native_equity
CME.OQ,CME,US12572Q1058,Nasdaq Stock Exchange Global Select Market,native_equity
CMG.N,CMG,US1696561059,New York Stock Exchange,native_equity
CMGB.MW,CMGB,,,native_equity
CMGIDE.INS,CMGIDE,,,native_equity
CMI.II,CMI,,,native_equity
CMI.N,CMI,US2310211063,New York Stock Exchange,native_equity
CMLS.PK,CMLSQ,US2310828015,USA Pink Sheets,native_equity
CMOS.II,CMOS,,,native_equity
CMP.N,CMP,US20451N1019,New York Stock Exchange,native_equity
CMPB3,PBD,GB00KNQP9V41,The London Metal Exchange,projection_only
CMPR.OQ,CMPR,IE00BKYC3F77,Nasdaq Stock Exchange Global Select Market,native_equity
CMPX.OQ,CMPX,US20454B1044,NASDAQ Stock Exchange Capital Market,native_equity
CMRC.OQ,CMRC,US08975P1084,NASDAQ Stock Exchange Global Market,native_equity
CMRE.N,CMRE,MHY1771G1026,New York Stock Exchange,native_equity
CMS.II,CMS,,,native_equity
CMS.N,CMS,US1258961002,New York Stock Exchange,native_equity
CMT.A,CMT,US2186831002,American Stock Exchange,native_equity
CMTG.N,CMTG,US18270D1063,New York Stock Exchange,native_equity
CMTL.OQ,CMTL,US2058262096,Nasdaq Stock Exchange Global Select Market,native_equity
CMTY.OQ,CMTY,,,native_equity
CNB.N,CNB,,,native_equity
CNC.N,CNC,US15135B1017,New York Stock Exchange,native_equity
CNDT.OQ,CNDT,US2067871036,Nasdaq Stock Exchange Global Select Market,native_equity
CNET.II,CNET,,,native_equity
CNH.N,CNH,NL0010545661,New York Stock Exchange,native_equity
CNK.N,CNK,US17243V1026,New York Stock Exchange,native_equity
CNL.N,CNL,CA19425C1005,New York Stock Exchange,native_equity
CNM.N,CNM,US21874C1027,New York Stock Exchange,native_equity
CNMD.N,CNMD,US2074101013,New York Stock Exchange,native_equity
CNNE.N,CNNE,US13765N1072,New York Stock Exchange,native_equity
CNO.N,CNO,US12621E1038,New York Stock Exchange,native_equity
CNOB.OQ,CNOB,US20786W1071,Nasdaq Stock Exchange Global Select Market,native_equity
CNP.II,CNP,,,native_equity
CNP.N,CNP,US15189T1079,New York Stock Exchange,native_equity
CNQR.O,CNQR,,,native_equity
CNQR.OQ,CNQR,,,native_equity
CNR.N,CNR,US2189371006,New York Stock Exchange,native_equity
CNRG.K,CNRG,US78468R6559,NYSE Arca Consolidated,projection_only
CNS.N,CNS,US19247A1007,New York Stock Exchange,native_equity
CNTY.OQ,CNTY,US1564921005,NASDAQ Stock Exchange Capital Market,native_equity
CNW.N,CNW,,,native_equity
CNX.II,CNX,,,native_equity
CNX.N,CNX,US12653C1080,New York Stock Exchange,native_equity
CNXC.OQ,CNXC,US20602D1019,Nasdaq Stock Exchange Global Select Market,native_equity
CNXN.OQ,CNXN,US69318J1007,Nasdaq Stock Exchange Global Select Market,native_equity
CNXR.OQ,CNXR,,,native_equity
CNXTDE.INS,CNXTDE,,,native_equity
COB.OQ,COB,,,native_equity
COCLDE.INS,COCLDE,,,native_equity
COCO.OQ,COCO,US92846Q1076,Nasdaq Stock Exchange Global Select Market,native_equity
CODA.OQ,CODA,US19188U2069,NASDAQ Stock Exchange Capital Market,native_equity
CODE.N,CODE,,,native_equity
CODI.N,CODI,US20451Q1040,New York Stock Exchange,native_equity
CODI.OQ,CODI,,,native_equity
COF.II,COF,,,native_equity
COF.N,COF,US14040H1059,New York Stock Exchange,native_equity
COFS.OQ,COFS,US1703861062,NASDAQ Stock Exchange Capital Market,native_equity
COGT.OQ,COGT,US19240Q2012,Nasdaq Stock Exchange Global Select Market,native_equity
COH.II,COH,,,native_equity
COHR.N,COHR,US19247G1076,New York Stock Exchange,native_equity
COHU.OQ,COHU,US1925761066,Nasdaq Stock Exchange Global Select Market,native_equity
COIN.OQ,COIN,US19260Q1076,Nasdaq Stock Exchange Global Select Market,native_equity
COKE.OQ,COKE,US1910981026,Nasdaq Stock Exchange Global Select Market,native_equity
COL.II,COL,,,native_equity
COLB.OQ,COLB,US1972361026,Nasdaq Stock Exchange Global Select Market,native_equity
COLD.N,COLD,US03064D1081,New York Stock Exchange,native_equity
COLL.OQ,COLL,US19459J1043,Nasdaq Stock Exchange Global Select Market,native_equity
COLM.OQ,COLM,US1985161066,Nasdaq Stock Exchange Global Select Market,native_equity
COL^K18,COL^K18,US7743411016,New York Consolidated,native_equity
COMP.N,COMP,US20464U1007,New York Stock Exchange,native_equity
COMS.O^D10,COMS,US8855351040,Consolidated Issue Listed on Nasdaq Global Select Market,native_equity
COMSDE.INS,COMSDE,,,native_equity
CON.N,CON,US20603L1026,New York Stock Exchange,native_equity
COOK.N,COOK,US89269P1030,New York Stock Exchange,native_equity
COP.II,COP,,,native_equity
COP.N,COP,US20825C1045,New York Stock Exchange,native_equity
COR.N,COR,US03073E1055,New York Stock Exchange,native_equity
CORI.OQ,CORI,,,native_equity
CORP.K,CORP,US72201R8170,NYSE Arca Consolidated,projection_only
CORS.OQ,CORS,,,native_equity
CORT.OQ,CORT,US2183521028,NASDAQ Stock Exchange Capital Market,native_equity
CORZ.OQ,CORZ,US21874A1060,Nasdaq Stock Exchange Global Select Market,native_equity
COSO.N,COSO,US19058X2071,New York Stock Exchange,native_equity
COST.OQ,COST,US22160K1051,Nasdaq Stock Exchange Global Select Market,native_equity
COTY.N,COTY,US2220702037,New York Stock Exchange,native_equity
COUPN.BCU,COUPN,US22266L1061,BATS Europe,native_equity
COUR.N,COUR,US22266M1045,New York Stock Exchange,native_equity
CPAY.N,CPAY,US2199481068,New York Stock Exchange,native_equity
CPB.O,CPB,US1344291091,Consolidated Issue Listed on Nasdaq Global Select Market,native_equity
CPE.MX,CPE*,US13123X5086,Bolsa Mexicana de Valores S.A. de C.V.,native_equity
CPF.N,CPF,US1547604090,New York Stock Exchange,native_equity
CPHD.O,CPHD,,,native_equity
CPHD.OQ,CPHD,,,native_equity
CPIX.OQ,CPIX,US2307701092,Nasdaq Stock Exchange Global Select Market,native_equity
CPK.N,CPK,US1653031088,New York Stock Exchange,native_equity
CPKI.OQ,CPKI,,,native_equity
CPRI.N,CPRI,VGG1890L1076,New York Stock Exchange,native_equity
