ric,ticker,isin,exchange_name,coverage_role
ACTA.OQ,ACTA,,,native_equity
ACTG.OQ,ACTG,US0038813079,Nasdaq Stock Exchange Global Select Market,native_equity
ACTL.OQ,ACTL,,,native_equity
ACTU.OQ,ACTU,US0050831009,NASDAQ Stock Exchange Global Market,native_equity
ACTV.N,ACTV,US90214Q7170,New York Stock Exchange,native_equity
ACU.A,ACU,US0048161048,American Stock Exchange,native_equity
ACVA.N,ACVA,US00091G1040,New York Stock Exchange,native_equity
ACV^E11,ACV,US0130781000,New York Consolidated,native_equity
ACW.N,ACW,,,native_equity
ACW.PH,ACW,,,native_equity
ACWI.O,ACWI,US4642882579,NASDAQ Global Market Consolidated,projection_only
ACWX.O,ACWX,US4642882405,NASDAQ Global Market Consolidated,projection_only
AD,AD,US9116841084,New York Consolidated,native_equity
ADAM.OQ,ADAM,US6496048405,Nasdaq Stock Exchange Global Select Market,native_equity
ADBE.OQ,ADBE,US00724F1012,Nasdaq Stock Exchange Global Select Market,native_equity
ADC.N,ADC,US0084921008,New York Stock Exchange,native_equity
ADCT.N,ADCT,CH0499880968,New York Stock Exchange,native_equity
ADCT.O^L10,ADCT,US0008863096,Consolidated Issue Listed on Nasdaq Global Select Market,native_equity
ADEA.OQ,ADEA,US00676P1075,Nasdaq Stock Exchange Global Select Market,native_equity
ADES.OQ,ADES,,,native_equity
ADGE.A,ADGE,,,native_equity
ADI.OQ,ADI,US0326541051,Nasdaq Stock Exchange Global Select Market,native_equity
ADM.N,ADM,US0394831020,New York Stock Exchange,native_equity
ADMA.OQ,ADMA,US0008991046,NASDAQ Stock Exchange Global Market,native_equity
ADNC.OQ,ADNC,,,native_equity
ADNT.N,ADNT,IE00BD845X29,New York Stock Exchange,native_equity
ADP.II,ADP,,,native_equity
ADP.OQ,ADP,US0530151036,Nasdaq Stock Exchange Global Select Market,native_equity
ADPI.OQ,ADPI,,,native_equity
ADPT.OQ,ADPT,US00650F1093,Nasdaq Stock Exchange Global Select Market,native_equity
ADPTDE.INS,ADPTDE,,,native_equity
ADSK.IX,ADSK,,,native_equity
ADSK.OQ,ADSK,US0527691069,Nasdaq Stock Exchange Global Select Market,native_equity
ADTN.OQ,ADTN,US00486H1059,Nasdaq Stock Exchange Global Select Market,native_equity
ADTNDE.INS,ADTNDE,,,native_equity
ADUS.OQ,ADUS,US0067391062,Nasdaq Stock Exchange Global Select Market,native_equity
ADV.OQ,ADV,US00791N1028,Nasdaq Stock Exchange Global Select Market,native_equity
ADVNB.OQ,ADVNB,,,native_equity
ADVS.O^G15,ADVS,US0079741080,Consolidated Issue Listed on Nasdaq Global Select Market,native_equity
ADY.P,ADY,,,native_equity
AEBASG.TRE,AEBASG,US0185223007,London Stock Exchange,native_equity
AEBI.OQ,AEBI,CH0027352993,Nasdaq Stock Exchange Global Select Market,native_equity
AEC.N,AEC,CA03464C2058,New York Stock Exchange,native_equity
AEE.II,AEE,US02361DAH35,,native_equity
AEE.N,AEE,US0236081024,New York Stock Exchange,native_equity
AEGR.OQ,AEGR,,,native_equity
AEHR.OQ,AEHR,US00760J1088,NASDAQ Stock Exchange Capital Market,native_equity
AEIS.OQ,AEIS,US0079731008,Nasdaq Stock Exchange Global Select Market,native_equity
AEO.N,AEO,US02553E1064,New York Stock Exchange,native_equity
AEP.OQ,AEP,US0255371017,Nasdaq Stock Exchange Global Select Market,native_equity
AEPI.OQ,AEPI,,,native_equity
AEPI.P,AEPI,,,native_equity
AER.N,AER,NL0000687663,New York Stock Exchange,native_equity
AES.N,AES,US00130H1059,New York Stock Exchange,native_equity
AESI.N,AESI,US6420451089,New York Stock Exchange,native_equity
AET.N,AET,,,native_equity
AEVA.OQ,AEVA,US00835Q2021,Nasdaq Stock Exchange Global Select Market,native_equity
AEYE.OQ,AEYE,US0507342014,NASDAQ Stock Exchange Capital Market,native_equity
AF.N,AF,,,native_equity
